Country Name,Country Code,Series Name,Series Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
World,WLD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,21796684795581.9,21911481867006.4,23054003896256.5,23980413102398.2,24961023533235,26004986260300,26494285470627.2,27004675633280.4,27084754622367,27785220247129.6,29083990581629.8,30160913843677.4,31171713892672.3,32332743811680.5,33817374892961.6,35074428995817.4,36044076008699.2,36496727027868.4,37233689598548.8,37908727457697.9,39168791739111.5,40376997999962.9,41820349066965.9,43463769120916.1,44704192643432.7,46291065127200.1,48388557167110.9,49368620392265.3,50505499243552.3,52073329170330.5,54400621045246.6,56579836978678.9,59093561843411.6,61677886808801.6,62949990715747.7,62096526015584.4,64909216709023.8,67068832481271.5,68885804388550.4,70861602283288.8,73075226555102.3,75359657218242.5,77485219519915.8,80166393396326.8,82801152494085.7,84988938153813.9,82497025649488.3,87661216769258.7,90369604265987.2,92827055067884.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 09/19/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
